wo_id,asset_tag,date_raised,date_completed,wo_type,priority,description,findings,parts_used,labour_hours,technician
WO-2019-04412,P-101B,2019-05-13,2019-05-16,PM,P3,Annual overhaul inspection of P-101B multistage boiler feed water pump,Pump internals in good order. Wear ring clearances within OEM limits. Coupling alignment corrected to 0.04 mm. Bearing temperature at TE-101B steady 63 degC on restart.,Coupling element kit CPL-4460; gasket set GSK-101B,26.5,R Deshmukh
WO-2019-07785,S-14,2019-09-02,2019-09-02,CM,P3,PDI-S14 reading 0.34 bar - strainer basket cleaning requested by shift operations,Basket removed and cleaned. Light mill scale and pipe debris. PDI-S14 returned to 0.20 bar clean condition after refit.,Strainer basket gasket SG-200-300,4.0,A Kulkarni
WO-2020-02318,P-101B,2020-03-11,2020-03-12,CM,P2,Operations report bearing high temperature complaint on P-101B - TE-101B touching 82 degC on afternoon shift,Oil level low in outboard bearing housing. Topped up with ISO VG 46 turbine oil. TE-101B settled to 68 degC. Noted pump had been running near minimum flow for extended period during low steam demand.,Turbine oil ISO VG 46 - 12 L,6.0,S Iyer
WO-2020-09044,MOV-118,2020-10-27,2020-10-28,PM,P3,Routine stroke test and calibration of MOV-118 minimum-flow recirculation valve,Valve stroked full travel 0-100 percent. Positioner recalibrated. Slight stiction noted on opening below 20 percent but within acceptance. Recommend monitoring.,Positioner filter regulator element FR-657,7.5,M Fernandes
WO-2021-05531,P-101B,2021-06-18,2021-06-21,CM,P2,Elevated vibration investigation on P-101B - VE-101B trending 4.6 mm/s RMS against 4.5 alarm,Spectral analysis shows raised 1x running speed and broadband energy 0.4-0.6x indicative of recirculation. Discharge flow logged at 96 m3h against 240 m3h rated. Advised operations to maintain flow above the 72 m3h minimum continuous flow. Vibration fell to 2.9 mm/s once flow restored.,Nil,14.0,S Iyer
WO-2021-11207,S-14,2021-12-04,2021-12-04,CM,P3,Suction strainer S-14 differential pressure rising - PDI-S14 at 0.41 bar,Basket cleaned and inspected. Corrosion product and weld spatter recovered. No basket damage. PDI-S14 0.21 bar after refit.,Strainer basket gasket SG-200-300,4.5,A Kulkarni
WO-2022-03876,P-101B,2022-04-09,2022-04-11,CM,P2,Repeat bearing high-temperature complaint on P-101B - TE-101B reaching 84 degC sustained,Outboard bearing inspected in situ. Minor discolouration of cage. Bearing replaced as precaution. Root cause attributed to sustained low-flow operation during turndown - MOV-118 observed not opening fully to admit recirculation.,Angular contact bearing 7314 BECBM x2; oil seal OS-95-120-12,18.0,R Deshmukh
WO-2023-02241,P-101B,2023-03-06,2023-03-14,CM,P1,BREAKDOWN - P-101B mechanical seal failure with heavy leakage from seal chamber and simultaneous outboard bearing distress. Pump tripped on high vibration.,Mechanical seal faces badly heat checked and carbon face cracked. Outboard bearing raceway spalled. Root cause confirmed as prolonged low-flow operation: DCS trend review shows P-101B ran between 55 and 70 m3h for 11 days continuously against the 72 m3h minimum continuous flow (30 percent of 240 m3h BEP). MOV-118 recirculation valve found partially seized at 22 percent and did not provide required minimum flow. Internal recirculation drove seal chamber temperature up and destroyed the seal faces; bearing failed secondary to shaft vibration.,Cartridge mechanical seal JC-70-BFP; angular contact bearing 7314 BECBM x2; shaft sleeve SS-101B-04; O-ring kit ORK-101B,96.0,R Deshmukh
WO-2023-02298,MOV-118,2023-03-08,2023-03-13,CM,P1,MOV-118 minimum-flow recirculation valve seized - overhaul required following P-101B seal failure investigation,Valve dismantled. Plug and cage heavily scored with hard deposit build-up. Stem packing over-tightened. Trim replaced and packing renewed. Full stroke restored 0-100 percent with no stiction on bench and in service test.,Fisher ET trim set 4in Class 600; graphite packing set PK-657; stem SS-118,42.0,M Fernandes
WO-2024-06619,P-101B,2024-07-22,2024-07-25,PM,P3,Scheduled 3-yearly overhaul and condition assessment of P-101B,Rotor withdrawn and inspected. No abnormal wear. Seal faces from 2023 rebuild in excellent condition. Balance check within ISO 1940 G2.5. Baseline vibration recorded at 2.1 mm/s RMS and TE-101B baseline 62 degC.,Gasket set GSK-101B; wear ring set WR-101B; seal flush filter element,58.0,R Deshmukh
WO-2025-04473,S-14,2025-05-19,2025-05-19,PM,P3,Planned cleaning of suction strainer S-14 on P-101B suction line,Basket cleaned. Moderate silt loading consistent with recent deaerator make-up water quality excursion. PDI-S14 0.19 bar clean.,Strainer basket gasket SG-200-300,4.0,A Kulkarni
WO-2026-05127,P-101B,2026-06-24,2026-06-25,CM,P2,Operations report P-101B running noisy with bearing temperature climbing - TE-101B 79 degC and rising over the week,Walkdown carried out. Audible crackling at suction consistent with cavitation. PDI-S14 measured 0.47 bar approaching the 0.5 bar alarm. FT-101 flow reduced to 118 m3h. MOV-118 position frozen at 34 percent and not responding to controller demand. Advised urgent strainer clean and MOV-118 intervention before flow falls below the 72 m3h minimum continuous flow. Job left open pending shutdown window.,Nil,9.0,S Iyer
